Designator,Footprint,Quantity,Value,LCSC Part #
"KiKit_MB_10_1, KiKit_MB_10_2, KiKit_MB_10_3, KiKit_MB_10_4, KiKit_MB_11_1, KiKit_MB_11_2, KiKit_MB_11_3, KiKit_MB_11_4, KiKit_MB_12_1, KiKit_MB_12_2, KiKit_MB_12_3, KiKit_MB_12_4, KiKit_MB_13_1, KiKit_MB_13_2, KiKit_MB_13_3, KiKit_MB_13_4, KiKit_MB_14_1, KiKit_MB_14_2, KiKit_MB_14_3, KiKit_MB_14_4, KiKit_MB_15_1, KiKit_MB_15_2, KiKit_MB_15_3, KiKit_MB_15_4, KiKit_MB_16_1, KiKit_MB_16_2, KiKit_MB_16_3, KiKit_MB_16_4, KiKit_MB_17_1, KiKit_MB_17_2, KiKit_MB_17_3, KiKit_MB_17_4, KiKit_MB_18_1, KiKit_MB_18_2, KiKit_MB_18_3, KiKit_MB_18_4, KiKit_MB_19_1, KiKit_MB_19_2, KiKit_MB_19_3, KiKit_MB_19_4, KiKit_MB_1_1, KiKit_MB_1_2, KiKit_MB_1_3, KiKit_MB_1_4, KiKit_MB_20_1, KiKit_MB_20_2, KiKit_MB_20_3, KiKit_MB_20_4, KiKit_MB_21_1, KiKit_MB_21_2, KiKit_MB_21_3, KiKit_MB_21_4, KiKit_MB_22_1, KiKit_MB_22_2, KiKit_MB_22_3, KiKit_MB_22_4, KiKit_MB_23_1, KiKit_MB_23_2, KiKit_MB_23_3, KiKit_MB_23_4, KiKit_MB_24_1, KiKit_MB_24_2, KiKit_MB_24_3, KiKit_MB_24_4, KiKit_MB_25_1, KiKit_MB_25_2, KiKit_MB_25_3, KiKit_MB_25_4, KiKit_MB_26_1, KiKit_MB_26_2, KiKit_MB_26_3, KiKit_MB_26_4, KiKit_MB_27_1, KiKit_MB_27_2, KiKit_MB_27_3, KiKit_MB_27_4, KiKit_MB_28_1, KiKit_MB_28_2, KiKit_MB_28_3, KiKit_MB_28_4, KiKit_MB_29_1, KiKit_MB_29_2, KiKit_MB_29_3, KiKit_MB_29_4, KiKit_MB_2_1, KiKit_MB_2_2, KiKit_MB_2_3, KiKit_MB_2_4, KiKit_MB_30_1, KiKit_MB_30_2, KiKit_MB_30_3, KiKit_MB_30_4, KiKit_MB_31_1, KiKit_MB_31_2, KiKit_MB_31_3, KiKit_MB_31_4, KiKit_MB_32_1, KiKit_MB_32_2, KiKit_MB_32_3, KiKit_MB_32_4, KiKit_MB_33_1, KiKit_MB_33_2, KiKit_MB_33_3, KiKit_MB_33_4, KiKit_MB_34_1, KiKit_MB_34_2, KiKit_MB_34_3, KiKit_MB_34_4, KiKit_MB_35_1, KiKit_MB_35_2, KiKit_MB_35_3, KiKit_MB_35_4, KiKit_MB_36_1, KiKit_MB_36_2, KiKit_MB_36_3, KiKit_MB_36_4, KiKit_MB_37_1, KiKit_MB_37_2, KiKit_MB_37_3, KiKit_MB_37_4, KiKit_MB_38_1, KiKit_MB_38_2, KiKit_MB_38_3, KiKit_MB_38_4, KiKit_MB_39_1, KiKit_MB_39_2, KiKit_MB_39_3, KiKit_MB_39_4, KiKit_MB_3_1, KiKit_MB_3_2, KiKit_MB_3_3, KiKit_MB_3_4, KiKit_MB_40_1, KiKit_MB_40_2, KiKit_MB_40_3, KiKit_MB_40_4, KiKit_MB_41_1, KiKit_MB_41_2, KiKit_MB_41_3, KiKit_MB_41_4, KiKit_MB_42_1, KiKit_MB_42_2, KiKit_MB_42_3, KiKit_MB_42_4, KiKit_MB_43_1, KiKit_MB_43_2, KiKit_MB_43_3, KiKit_MB_43_4, KiKit_MB_44_1, KiKit_MB_44_2, KiKit_MB_44_3, KiKit_MB_44_4, KiKit_MB_45_1, KiKit_MB_45_2, KiKit_MB_45_3, KiKit_MB_45_4, KiKit_MB_46_1, KiKit_MB_46_2, KiKit_MB_46_3, KiKit_MB_46_4, KiKit_MB_47_1, KiKit_MB_47_2, KiKit_MB_47_3, KiKit_MB_47_4, KiKit_MB_48_1, KiKit_MB_48_2, KiKit_MB_48_3, KiKit_MB_48_4, KiKit_MB_4_1, KiKit_MB_4_2, KiKit_MB_4_3, KiKit_MB_4_4, KiKit_MB_5_1, KiKit_MB_5_2, KiKit_MB_5_3, KiKit_MB_5_4, KiKit_MB_6_1, KiKit_MB_6_2, KiKit_MB_6_3, KiKit_MB_6_4, KiKit_MB_7_1, KiKit_MB_7_2, KiKit_MB_7_3, KiKit_MB_7_4, KiKit_MB_8_1, KiKit_MB_8_2, KiKit_MB_8_3, KiKit_MB_8_4, KiKit_MB_9_1, KiKit_MB_9_2, KiKit_MB_9_3, KiKit_MB_9_4",NPTH,192,NPTH,
"U1_16, U1_15, U1_14, U1_13, U1_12, U1_11, U1_10, U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",DIP-16_W7.62mm_LongPads,16,CD74HC4051M96,
"U2_16, U2_15, U2_14, U2_13, U2_12, U2_11, U2_10, U2_9, U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2",D16,16,CD74HC4051M96,
"U3_16, U3_15, U3_14, U3_13, U3_12, U3_11, U3_10, U3_9, U3_8, U3_7, U3_6, U3_5, U3_4, U3_3, U3_2, U3",PW16,16,CD74HC4051M96,
